"Advanced targeting options allow you to update your recipents list with always up to date customers' data, for instance: last order grand total value, average basket value, number of logins.", "Zaawansawony eksport danych umożliwia eksportowanie szczegółowych danych klientów do bazy SARE, na przykład - łączna wartość zakupów, czas ostatniego logowania, produkty w liście życzeń, itp."
"You can later use this data to segment and filter recipents groups. <a href=\"#\">Read more here</a>.", "Dane te można później wykorzystać przy segmentacji klientów, filtrowaniu i innych działaniach e-mail marketingowych."
"Customer's firstname","Imię klienta"
"Customer's lastname","Nazwisko klienta"
"Customer's company","Firma klienta"
"Customer's postcode (billing address)", "Kod pocztowy klienta (adres faktury)"
"Customer's city (billing address)", "Miasto klienta (adres faktury)"
"Customer's telephone number (billing address)", "Nr telefonu klienta (adres faktury)"
"Customer's fax number (billing address)","Nr faksu klienta (adres fakury)"
"Customer's country id (f.e: DE, PL)","Kod kraju klienta (np. DE, PL)"
"Customer's group id","ID grupy klienta (customer_group_id)"
"Last order datetime","Data i czas ostatniego zamówienia"
"Last order value (grand total)", "Wartość ostatniego zamówienia (grand total)"
"Total orders count","Łączna ilość zamówień"
"Total orders value","Łaczna wartość wszystkich zamówień"
"Customer's average order value","Średnia wartość zamówienia klienta"
"List of last bought items (sku1, sku2, ...)","Lista ostatnio zakupionych produktów (sku1, sku2, ...)"
"Products put in customer's wishlist (sku1, sku2, etc)","Lista produktów z listy życzeń (sku1, sku2, ...)"
"Timestamp of last datachange","Czas ostatniej aktualizacji danych"
"Customer's gender","Płeć klienta"
"Select group (1-31) or 0 for no group","Wybierz ID grupy (1-31) lub 0 - bez grupy"
"Populated detailed customer data and sent to SARE","Zebrano dane klienta i wysłano do SARE"
"Subscribed with mkey = %s","Pomyślnie zapisano adres w SARE (mkey = %s)"
"<b>%s</b> should be unsubscribed...","Adres <b>%s</b> powinien zostać wypisany z SARE"
"<b>%s</b> should be subscribed...","Adres <b>%s</b> powinien zostać zapisany w SARE"
"Processing: %s","Przetwarzany adres: %s"
"Started mass synchro...","Rozpoczęto proces przetwarzania wsadowego"
"Subscribers to process: <b>%s</b>","Ilość adresów do przetworzenia: <b>%s</b>"
"Whats going on?","Co się teraz dzieje?"
"every confirmed subscriber is added to SARE","każdy potwierdzony adres zostanie dodany do SARE"
"if subscriber is not confirmed - appropriate status is set in SARE","jeśli subskrybent jest niepotwierdzony, adres otrzyma odpowiedni status w SARE"
"if subscriber is a customer - detailed data is populated and sent to SARE","jeśli subskrybent jest klientem, szczegółowe dane zostanę zebrane i wysłane do SARE"
"<b>NOTE:</b> Do not close this window.","<b>UWAGA:</b> Proszę nie zamykać tego okna zanim proces nie zostanie ukończony."
"<div class='row complete'>All done! <a href='https://ww0.enewsletter.pl/index2.php'>Login to SARE panel</a> now</div>","<div class='row complete'>Proces zakończony! <a href='https://ww0.enewsletter.pl/index2.php'>Zaloguj się do panelu SARE</a>.</div>"
"Failed to unsubscribe - check logs!", "Nieudane wypisanie z bazy - sprawdź logi"
"Failed to subscribe - check logs!", "Nieudane dopisanie do bazy - sprawdź logi"
"These are required features you need add in your database structure.", "Poniżej znajduje się lista cech, które muszą zostać utworzone w strukturze Twojej bazy."
"You must create them before you start using integration. Otherwise - extended customer data will not be saved at SARE side.", "Musisz utworzyć te cechy zanim rozpoczniesz synchronizację. W przeciwnym razie, rozszerzone dane klientów <b>nie zostaną</b> zapisane po stronie SARE."
"in hours","w godzinach"
"Enable abandoned carts interface","Interfejs porzuconych koszyków włączony"
"Treat quote as abandoned when it hasn't been updated for","Traktuj koszyk jako porzucony gdy minęło więcej niz..."
"New customer subscribers should be added to group:","Nowi klienci powinni być dodawani do grupy:"
"New guest subscribers should be added to group:","Nowi goście powinni być dodawani do grupy:"
"Address added successfully.", "Adres dopisany pomyślnie"
"Address already exists, but has not been confirmed yet.", "Adres istnieje w bazie, ale nie został potwierdzony"
"Address already exists, but it is blocked by SARE operator.", "Adres istnieje w bazie, ale jest zablokowany przez operatora"
"Address already exists, and it is confirmed already.", "Adres istnieje w bazie i jest już potwierdzony"
"One the required parameters is missing.", "Brak któregoś z wymaganych parametrów"
"E-mail address is not formed correctly.", "Adres e-mail niepoprawny składniowo"
"UID number is not formed correctly.", "Numer UID niepoprawny składniowo"
"Wrong integration key.", "Niepoprawny klucz do dopisywania"
"GSM number is not formed correctly.","Numer GSM niepoprawny składniowo"
"API limit is set.","Ustawiony limit API"
"Wrong UID.","Niewłaściwy UID"
"Database connection error.","Błąd połączenia z bazą danych"
"Unknown error.", "Nieznany błąd."
"Recent subscribers","Ostatnio dodani subskrybenci"
"Please select correct setting here. It is really important that your addresses are double opt-in. You can either use Magento default workflow (recommended) or use SARE for sending confirmation emails - in this case - you need to setup subscription scenario at SARE side.",  "Proszę wybrać odpowiednią opcję. To naprawdę ważne, by adresy przeszły procedurę double opt-in. Można wykorzystać podstawowy mechanizm Magento (zalecane) lub wykorzystać scenariusze subskrypcji po stronie SARE. <br/><br/><b>W razie wątpliwości - skonsultuj się ze swoim konsultantem.</b>"
"Guest subscriber means that email address is not assigned to registered customer", "Subskrybenci goście to adresy dodane do newslettera, które nie są adressami zarejestrowanych klientów."
"New guest subscribers should be added to group:","Nowi sybskrybenci-goście powinni być dodawani do grup:"
"Select group (1-31) or 0 for no group", "Podaj numery ID grup (rozdzielone przecinkiem) lub 0 - bez grupy"
"Customer subscribers are those registered clients who subscribed to newsletter.","Subskrybenci klienci - do zarejestrowani klienci, którzy zapisali się do newslettera."
"Created by <a href=""http://www.creativestyle.de"" target=""_blank"">creativestyle Gmbh</a> | Support: ", "Wykonanie: <a href=""http://www.creativestyle.de"" target=""_blank"">creativestyle</a> | Support: "
"Subscribe problem","Problem z dopisaniem do bazy"
"SARE integration problem notification","SARE integracja - komunikat błędu"
"You receive these emails, because your address was entered in Magento configuration panel. You can disable them in Magento backend - Newsletter / SARE integration / Settings. <br/><br/>Have a nice day!<br/>SARE team.","Otrzymujesz te wiadomości, ponieważ Twój adres został podany w Magento. Aby nie otrzymywać więcej takich wiadomości, wyłącz powiadamianie o błędach w System / Konfiguracja / SARE<br/><br/>Życzymy miłego dnia<br/>Załoga SARE."
"SARE integration","SARE - integracja"
"E-mail sender email","Adres e-mail nadawcy e-maila"
"E-mail sender name", "Nazwa nadawcy e-maila"
"Send problem notifications emails","Wysyłaj powiadomienia o błędach"
"Send transactional e-mails through whitelisted, high-reputation e-mail server","Wysyłać e-maile transakcyjne poprzez serwer o wysokiej reputacji, znajdujący się na whitelistach"
"Generate txt version from HTML content and attach it as multipart e-mail","Generować postać TXT z wersji HTML i dodawać ją jako element wiadomości multipart"
"Track opening rate and click rate of each sent e-mail","Śledzić otwarcia i kliknięcia każdego wysłanego maila"
"Analyze campaigns with advanced reportings and analytics","Analizować kampanie wysyłkowe dzięki szczegółowym raportom i analizom"
"Use dynamical content to persnalize e-mails at SARE side","Używać treści personalizowanej dostępnej po stronie SARE"
"More info and pricing: <a href=""http://sare.pl/smtp/index.php?lang=en"">http://sare.pl/smtp/index.php?lang=en</a>.","Więcej informacji oraz cennik: <a href=""http://sare.pl/smtp/index.php"">http://sare.pl/smtp/index.php</a>."
"Read how to configure SMTP account <a href=""http://sare.pl/upload/pl/SMTP_-_Outlook.pdf"">here</a>.", "Dowiedz się, jak skonfigurować konto SMTP - <a href=""http://sare.pl/upload/pl/SMTP_-_Outlook.pdf"">tutaj</a>."
"Integrate SMTP server with Magento","Zintegruj serwer SMTP SARE z Magento"
"SMTP extension is already installed. <a href=""%s"">Configure it here</a>.","Rozszerzenie SMTP jest już zainstowalane, <a href=""%s"">skonfiguruj je tutaj</a>."
"SMTP extension is not installed, <a href=""%s"">get it here</a>","Rozszerzenie SMTP nie jest jeszcze zainstalowane, <a href="%s">pobierz je i zainstaluj</a>."
"SMTP Integration","Integracja z SMTP"
"SMTP Settings","Ustawienia SMTP"
